Date,Open,High,Low,Close
2023-08-10 09:30:00-04:00,15300.75,15330.75,15273.25,15316.25
2023-08-10 09:35:00-04:00,15319.0,15353.0,15314.75,15335.25
2023-08-10 09:40:00-04:00,15335.5,15356.0,15316.25,15319.0
2023-08-10 09:45:00-04:00,15322.75,15386.0,15322.75,15379.25
2023-08-10 09:50:00-04:00,15377.5,15395.75,15370.5,15395.75
2023-08-10 09:55:00-04:00,15395.25,15425.5,15388.0,15420.75
2023-08-10 10:00:00-04:00,15422.25,15442.25,15422.25,15429.75
2023-08-10 10:05:00-04:00,15430.0,15438.5,15417.25,15423.75
2023-08-10 10:10:00-04:00,15425.0,15425.5,15405.25,15412.0
2023-08-10 10:15:00-04:00,15411.5,15436.75,15409.0,15412.75
2023-08-10 10:20:00-04:00,15412.25,15414.25,15393.25,15411.75
2023-08-10 10:25:00-04:00,15415.5,15417.0,15385.75,15397.0
2023-08-10 10:30:00-04:00,15399.0,15412.5,15393.75,15411.75
2023-08-10 10:35:00-04:00,,,,
2023-08-10 10:40:00-04:00,,,,
2023-08-10 10:45:00-04:00,,,,
2023-08-10 10:50:00-04:00,,,,
2023-08-10 10:55:00-04:00,,,,
2023-08-10 11:00:00-04:00,,,,
2023-08-10 11:05:00-04:00,,,,
2023-08-10 11:10:00-04:00,,,,
2023-08-10 11:15:00-04:00,,,,
2023-08-10 11:20:00-04:00,,,,
2023-08-10 11:25:00-04:00,,,,
2023-08-10 11:30:00-04:00,,,,
2023-08-10 11:35:00-04:00,,,,
2023-08-10 11:40:00-04:00,,,,
2023-08-10 11:45:00-04:00,,,,
2023-08-10 11:50:00-04:00,,,,
2023-08-10 11:55:00-04:00,,,,
2023-08-10 12:00:00-04:00,,,,
2023-08-10 12:05:00-04:00,,,,
2023-08-10 12:10:00-04:00,,,,
2023-08-10 12:15:00-04:00,,,,
2023-08-10 12:20:00-04:00,,,,
2023-08-10 12:25:00-04:00,,,,
2023-08-10 12:30:00-04:00,,,,
2023-08-10 12:35:00-04:00,15233.75,15245.0,15227.25,15238.25
2023-08-10 12:40:00-04:00,15260.5,15263.75,15246.25,15263.75
2023-08-10 12:45:00-04:00,15263.25,15280.75,15259.25,15271.5
2023-08-10 12:50:00-04:00,15271.5,15272.75,15230.25,15236.5
2023-08-10 12:55:00-04:00,15237.0,15240.5,15199.0,15211.5
2023-08-10 13:00:00-04:00,15213.0,15224.75,15201.75,15219.5
2023-08-10 13:05:00-04:00,15218.25,15233.5,15214.25,15228.75
2023-08-10 13:10:00-04:00,15231.75,15232.5,15214.75,15227.5
2023-08-10 13:15:00-04:00,15227.75,15231.75,15210.75,15220.75
2023-08-10 13:20:00-04:00,15219.0,15219.0,15183.75,15201.0
2023-08-10 13:25:00-04:00,15200.75,15206.75,15189.5,15202.25
2023-08-10 13:30:00-04:00,15199.75,15205.0,15181.0,15203.25
2023-08-10 13:35:00-04:00,15203.75,15204.5,15181.75,15186.75
2023-08-10 13:40:00-04:00,15190.5,15194.0,15153.25,15167.75
2023-08-10 13:45:00-04:00,15167.75,15202.25,15163.75,15190.25
2023-08-10 13:50:00-04:00,15187.5,15202.0,15178.25,15181.0
2023-08-10 13:55:00-04:00,15180.0,15180.25,15136.0,15145.5
2023-08-10 14:00:00-04:00,15145.25,15172.25,15141.5,15170.25
2023-08-10 14:05:00-04:00,15170.5,15197.75,15170.5,15188.5
2023-08-10 14:10:00-04:00,15186.75,15220.5,15185.25,15215.5
2023-08-10 14:15:00-04:00,15215.75,15229.75,15199.25,15205.25
2023-08-10 14:20:00-04:00,15204.0,15224.25,15199.5,15214.5
2023-08-10 14:25:00-04:00,15218.5,15224.0,15197.5,15209.25
2023-08-10 14:30:00-04:00,15208.75,15221.75,15197.5,15206.0
2023-08-10 14:35:00-04:00,15203.25,15214.0,15188.25,15211.75
2023-08-10 14:40:00-04:00,15211.5,15214.0,15186.0,15196.75
2023-08-10 14:45:00-04:00,15202.75,15227.0,15189.25,15215.5
2023-08-10 14:50:00-04:00,15214.25,15240.0,15207.0,15230.75
2023-08-10 14:55:00-04:00,15232.75,15247.0,15224.5,15247.0
2023-08-10 15:00:00-04:00,15245.25,15247.25,15238.25,15239.75
2023-08-10 15:05:00-04:00,,,,
2023-08-10 15:10:00-04:00,,,,
2023-08-10 15:15:00-04:00,,,,
2023-08-10 15:20:00-04:00,,,,
2023-08-10 15:25:00-04:00,,,,
2023-08-10 15:30:00-04:00,,,,
2023-08-10 15:35:00-04:00,,,,
2023-08-10 15:40:00-04:00,,,,
2023-08-10 15:45:00-04:00,,,,
2023-08-10 15:50:00-04:00,,,,
2023-08-10 15:55:00-04:00,,,,
