Date,Open,High,Low,Close
2023-07-05 09:30:00-04:00,,-1.0,inf,
2023-07-05 09:35:00-04:00,,-1.0,inf,
2023-07-05 09:40:00-04:00,,-1.0,inf,
2023-07-05 09:45:00-04:00,,-1.0,inf,
2023-07-05 09:50:00-04:00,,-1.0,inf,
2023-07-05 09:55:00-04:00,4450.28,4450.53,4448.53,4449.53
2023-07-05 10:00:00-04:00,4449.53,4451.28,4447.78,4449.28
2023-07-05 10:05:00-04:00,4449.28,4451.78,4448.78,4449.28
2023-07-05 10:10:00-04:00,4449.28,4450.28,4447.03,4450.03
2023-07-05 10:15:00-04:00,4450.03,4453.28,4450.03,4452.28
2023-07-05 10:20:00-04:00,4452.28,4453.53,4451.28,4452.28
2023-07-05 10:25:00-04:00,4452.28,4453.78,4451.03,4452.28
2023-07-05 10:30:00-04:00,4452.28,4454.28,4452.28,4453.78
2023-07-05 10:35:00-04:00,4453.78,4455.78,4453.53,4454.53
2023-07-05 10:40:00-04:00,4454.53,4455.03,4452.28,4453.03
2023-07-05 10:45:00-04:00,4453.03,4453.53,4448.78,4451.28
2023-07-05 10:50:00-04:00,4451.28,4452.28,4451.03,4452.28
2023-07-05 10:55:00-04:00,4452.28,4455.53,4452.03,4455.28
2023-07-05 11:00:00-04:00,4455.28,4455.78,4453.78,4454.28
2023-07-05 11:05:00-04:00,4454.28,4456.28,4454.28,4454.78
2023-07-05 11:10:00-04:00,4454.78,4455.78,4453.28,4455.03
2023-07-05 11:15:00-04:00,4455.03,4455.28,4451.53,4452.78
2023-07-05 11:20:00-04:00,4452.78,4454.03,4451.28,4452.78
2023-07-05 11:25:00-04:00,4452.78,4454.03,4452.03,4453.28
2023-07-05 11:30:00-04:00,4453.28,4455.53,4453.03,4454.78
2023-07-05 11:35:00-04:00,4454.78,4455.03,4452.53,4453.03
2023-07-05 11:40:00-04:00,4453.03,4454.78,4452.78,4454.78
2023-07-05 11:45:00-04:00,4454.78,4455.28,4453.28,4453.78
2023-07-05 11:50:00-04:00,4453.78,4454.03,4451.78,4452.53
2023-07-05 11:55:00-04:00,4452.53,4452.78,4449.53,4450.28
2023-07-05 12:00:00-04:00,4450.28,4450.78,4448.03,4450.28
2023-07-05 12:05:00-04:00,4450.28,4451.03,4449.78,4450.53
2023-07-05 12:10:00-04:00,4450.53,4450.53,4448.28,4449.28
2023-07-05 12:15:00-04:00,4449.28,4450.78,4449.03,4449.78
2023-07-05 12:20:00-04:00,4449.78,4449.78,4447.28,4449.53
2023-07-05 12:25:00-04:00,4449.53,4450.03,4449.53,4449.53
2023-07-05 12:30:00-04:00,4449.53,4450.78,4447.03,4447.53
2023-07-05 12:35:00-04:00,4447.53,4448.53,4444.28,4446.78
2023-07-05 12:40:00-04:00,4446.78,4447.28,4445.78,4446.28
2023-07-05 12:45:00-04:00,4446.28,4447.53,4445.03,4447.28
2023-07-05 12:50:00-04:00,4447.28,4448.28,4446.03,4446.78
2023-07-05 12:55:00-04:00,4446.78,4447.53,4446.78,4447.53
2023-07-05 13:00:00-04:00,,-1.0,inf,
2023-07-05 13:05:00-04:00,,-1.0,inf,
2023-07-05 13:10:00-04:00,,-1.0,inf,
2023-07-05 13:15:00-04:00,,-1.0,inf,
2023-07-05 13:20:00-04:00,,-1.0,inf,
2023-07-05 13:25:00-04:00,,-1.0,inf,
2023-07-05 13:30:00-04:00,,-1.0,inf,
2023-07-05 13:35:00-04:00,,-1.0,inf,
2023-07-05 13:40:00-04:00,,-1.0,inf,
2023-07-05 13:45:00-04:00,,-1.0,inf,
2023-07-05 13:50:00-04:00,,-1.0,inf,
2023-07-05 13:55:00-04:00,,-1.0,inf,
2023-07-05 14:00:00-04:00,,-1.0,inf,
2023-07-05 14:05:00-04:00,,-1.0,inf,
2023-07-05 14:10:00-04:00,,-1.0,inf,
2023-07-05 14:15:00-04:00,,-1.0,inf,
2023-07-05 14:20:00-04:00,,-1.0,inf,
2023-07-05 14:25:00-04:00,,-1.0,inf,
2023-07-05 14:30:00-04:00,,-1.0,inf,
2023-07-05 14:35:00-04:00,,-1.0,inf,
2023-07-05 14:40:00-04:00,,-1.0,inf,
2023-07-05 14:45:00-04:00,,-1.0,inf,
2023-07-05 14:50:00-04:00,,-1.0,inf,
2023-07-05 14:55:00-04:00,,-1.0,inf,
2023-07-05 15:00:00-04:00,,-1.0,inf,
2023-07-05 15:05:00-04:00,,-1.0,inf,
2023-07-05 15:10:00-04:00,,-1.0,inf,
2023-07-05 15:15:00-04:00,,-1.0,inf,
2023-07-05 15:20:00-04:00,,-1.0,inf,
2023-07-05 15:25:00-04:00,,-1.0,inf,
2023-07-05 15:30:00-04:00,,-1.0,inf,
2023-07-05 15:35:00-04:00,,-1.0,inf,
2023-07-05 15:40:00-04:00,,-1.0,inf,
2023-07-05 15:45:00-04:00,,-1.0,inf,
2023-07-05 15:50:00-04:00,,-1.0,inf,
2023-07-05 15:55:00-04:00,,-1.0,inf,
