Date,Open,High,Low,Close
2023-07-24 09:30:00-04:00,15479.58,15507.95,15479.58,15501.7
2023-07-24 09:35:00-04:00,15501.7,15510.95,15469.2,15484.08
2023-07-24 09:40:00-04:00,15484.08,15501.2,15480.95,15497.6
2023-07-24 09:45:00-04:00,15497.6,15503.7,15435.7,15451.95
2023-07-24 09:50:00-04:00,15451.95,15452.2,15379.95,15385.58
2023-07-24 09:55:00-04:00,15382.95,15406.45,15379.33,15399.2
2023-07-24 10:00:00-04:00,15399.2,15410.2,15395.95,15399.45
2023-07-24 10:05:00-04:00,15399.45,15414.7,15393.08,15398.45
2023-07-24 10:10:00-04:00,15398.45,15447.45,15392.45,15446.58
2023-07-24 10:15:00-04:00,15446.58,15468.58,15442.45,15461.08
2023-07-24 10:20:00-04:00,15461.08,15473.95,15453.7,15468.45
2023-07-24 10:25:00-04:00,15468.45,15484.33,15453.95,15471.95
2023-07-24 10:30:00-04:00,15471.95,15486.45,15448.7,15455.2
2023-07-24 10:35:00-04:00,15455.2,15470.2,15442.83,15444.45
2023-07-24 10:40:00-04:00,15444.45,15464.2,15444.45,15449.95
2023-07-24 10:45:00-04:00,15449.95,15459.83,15442.58,15447.83
2023-07-24 10:50:00-04:00,15447.83,15462.95,15437.95,15462.45
2023-07-24 10:55:00-04:00,15462.45,15466.45,15454.08,15456.45
2023-07-24 11:00:00-04:00,15456.45,15461.2,15438.58,15447.7
2023-07-24 11:05:00-04:00,15447.7,15447.83,15428.95,15437.45
2023-07-24 11:10:00-04:00,15437.45,15477.45,15433.45,15474.95
2023-07-24 11:15:00-04:00,15474.95,15486.45,15474.45,15481.2
2023-07-24 11:20:00-04:00,15481.2,15482.08,15468.2,15470.45
2023-07-24 11:25:00-04:00,15470.45,15470.45,15449.45,15450.2
2023-07-24 11:30:00-04:00,15450.2,15451.45,15431.2,15434.95
2023-07-24 11:35:00-04:00,15434.95,15441.7,15413.33,15421.2
2023-07-24 11:40:00-04:00,15421.2,15430.7,15414.7,15427.33
2023-07-24 11:45:00-04:00,15427.33,15441.2,15425.58,15435.45
2023-07-24 11:50:00-04:00,15435.45,15453.95,15435.45,15450.7
2023-07-24 11:55:00-04:00,15450.7,15456.83,15443.95,15454.45
2023-07-24 12:00:00-04:00,15454.45,15464.95,15447.45,15455.33
2023-07-24 12:05:00-04:00,15455.33,15458.7,15443.7,15453.7
2023-07-24 12:10:00-04:00,15453.7,15466.45,15452.2,15465.08
2023-07-24 12:15:00-04:00,15465.08,15474.58,15444.33,15446.45
2023-07-24 12:20:00-04:00,15446.45,15446.45,15431.08,15437.2
2023-07-24 12:25:00-04:00,15437.2,15450.95,15430.95,15450.95
2023-07-24 12:30:00-04:00,15450.95,15464.33,15445.95,15452.33
2023-07-24 12:35:00-04:00,15452.33,15454.33,15442.08,15442.33
2023-07-24 12:40:00-04:00,15442.33,15447.08,15438.33,15444.7
2023-07-24 12:45:00-04:00,15444.7,15447.2,15432.2,15434.08
2023-07-24 12:50:00-04:00,15434.08,15442.95,15427.2,15438.45
2023-07-24 12:55:00-04:00,15438.45,15446.95,15434.08,15442.7
2023-07-24 13:00:00-04:00,15442.7,15444.45,15431.83,15438.58
2023-07-24 13:05:00-04:00,15438.58,15447.08,15432.7,15438.45
2023-07-24 13:10:00-04:00,15438.45,15453.95,15437.95,15449.45
