Date,Open,High,Low,Close
2023-07-10 09:30:00-04:00,,-1.0,inf,
2023-07-10 09:35:00-04:00,,-1.0,inf,
2023-07-10 09:40:00-04:00,,-1.0,inf,
2023-07-10 09:45:00-04:00,,-1.0,inf,
2023-07-10 09:50:00-04:00,,-1.0,inf,
2023-07-10 09:55:00-04:00,,-1.0,inf,
2023-07-10 10:00:00-04:00,,-1.0,inf,
2023-07-10 10:05:00-04:00,4410.48,4413.98,4410.23,4412.48
2023-07-10 10:10:00-04:00,4412.48,4413.98,4409.98,4411.98
2023-07-10 10:15:00-04:00,4411.98,4412.23,4407.98,4410.98
2023-07-10 10:20:00-04:00,4410.98,4412.73,4410.73,4412.73
2023-07-10 10:25:00-04:00,4412.73,4413.73,4407.73,4408.23
2023-07-10 10:30:00-04:00,4408.23,4409.23,4403.98,4404.73
2023-07-10 10:35:00-04:00,4404.73,4405.48,4399.23,4404.98
2023-07-10 10:40:00-04:00,4404.98,4405.48,4400.48,4402.48
2023-07-10 10:45:00-04:00,4402.48,4405.23,4401.48,4403.73
2023-07-10 10:50:00-04:00,4403.73,4405.73,4401.23,4401.73
2023-07-10 10:55:00-04:00,4401.73,4402.23,4400.23,4401.98
2023-07-10 11:00:00-04:00,4401.98,4402.23,4395.98,4399.23
2023-07-10 11:05:00-04:00,4399.23,4401.23,4396.98,4399.48
2023-07-10 11:10:00-04:00,4399.48,4399.73,4396.73,4399.73
2023-07-10 11:15:00-04:00,4399.73,4400.48,4396.98,4397.98
2023-07-10 11:20:00-04:00,4397.98,4399.73,4397.23,4399.48
2023-07-10 11:25:00-04:00,4399.48,4402.98,4399.48,4402.73
2023-07-10 11:30:00-04:00,4402.73,4406.48,4402.73,4404.98
2023-07-10 11:35:00-04:00,4404.98,4406.48,4404.98,4405.48
2023-07-10 11:40:00-04:00,4405.48,4406.23,4399.98,4399.98
2023-07-10 11:45:00-04:00,4399.98,4400.23,4396.48,4399.23
2023-07-10 11:50:00-04:00,4399.23,4402.48,4398.98,4402.48
2023-07-10 11:55:00-04:00,4402.48,4403.48,4399.98,4399.98
2023-07-10 12:00:00-04:00,4399.98,4400.48,4391.98,4395.98
2023-07-10 12:05:00-04:00,4395.98,4396.48,4391.48,4392.23
2023-07-10 12:10:00-04:00,4392.23,4393.23,4391.73,4392.73
2023-07-10 12:15:00-04:00,4392.73,4396.73,4391.73,4395.98
2023-07-10 12:20:00-04:00,4395.98,4399.98,4395.73,4399.23
2023-07-10 12:25:00-04:00,4399.23,4400.23,4398.48,4399.73
2023-07-10 12:30:00-04:00,4399.73,4401.73,4399.23,4400.98
2023-07-10 12:35:00-04:00,4400.98,4402.23,4398.23,4400.23
2023-07-10 12:40:00-04:00,4400.23,4402.23,4399.23,4401.98
2023-07-10 12:45:00-04:00,4401.98,4404.73,4401.98,4404.73
2023-07-10 12:50:00-04:00,4404.73,4404.98,4402.48,4403.23
2023-07-10 12:55:00-04:00,4403.23,4405.48,4401.73,4404.48
2023-07-10 13:00:00-04:00,4404.48,4406.23,4404.23,4405.23
2023-07-10 13:05:00-04:00,4405.23,4406.73,4404.73,4405.23
2023-07-10 13:10:00-04:00,4405.23,4405.73,4403.98,4405.23
2023-07-10 13:15:00-04:00,4405.23,4406.48,4403.48,4404.98
2023-07-10 13:20:00-04:00,4404.98,4405.98,4404.73,4405.23
2023-07-10 13:25:00-04:00,4405.23,4406.98,4403.98,4406.98
2023-07-10 13:30:00-04:00,4406.98,4409.48,4405.98,4406.48
2023-07-10 13:35:00-04:00,4406.48,4406.73,4403.98,4405.48
2023-07-10 13:40:00-04:00,4405.48,4407.48,4404.73,4406.98
2023-07-10 13:45:00-04:00,4406.98,4407.98,4404.23,4404.23
2023-07-10 13:50:00-04:00,4404.23,4406.73,4403.98,4405.73
2023-07-10 13:55:00-04:00,4405.73,4406.73,4404.23,4405.48
2023-07-10 14:00:00-04:00,4405.48,4405.98,4401.23,4401.23
2023-07-10 14:05:00-04:00,4401.23,4403.73,4401.23,4401.98
2023-07-10 14:10:00-04:00,4401.98,4405.48,4401.98,4405.23
2023-07-10 14:15:00-04:00,4405.23,4407.23,4405.23,4406.23
2023-07-10 14:20:00-04:00,4406.23,4409.23,4405.98,4407.98
2023-07-10 14:25:00-04:00,4407.98,4409.98,4407.73,4409.73
2023-07-10 14:30:00-04:00,4409.73,4409.98,4406.73,4407.73
2023-07-10 14:35:00-04:00,4407.73,4407.73,4404.98,4405.23
2023-07-10 14:40:00-04:00,4405.23,4406.48,4404.98,4405.23
2023-07-10 14:45:00-04:00,4405.23,4405.48,4403.48,4404.73
2023-07-10 14:50:00-04:00,4404.73,4407.23,4404.48,4407.23
2023-07-10 14:55:00-04:00,4407.23,4408.98,4407.23,4408.48
2023-07-10 15:00:00-04:00,4408.48,4408.98,4406.23,4407.48
2023-07-10 15:05:00-04:00,4407.48,4408.48,4404.48,4405.48
2023-07-10 15:10:00-04:00,4405.48,4406.23,4403.98,4405.73
2023-07-10 15:15:00-04:00,4405.73,4406.98,4404.73,4405.23
2023-07-10 15:20:00-04:00,4405.23,4406.73,4404.23,4404.73
2023-07-10 15:25:00-04:00,4404.73,4406.73,4404.48,4405.98
2023-07-10 15:30:00-04:00,4405.98,4406.23,4403.73,4404.23
2023-07-10 15:35:00-04:00,4404.23,4407.23,4403.98,4406.48
