Date,Open,High,Low,Close
2023-08-09 09:30:00-04:00,4519.75,4521.5,4594.75,4529.75
2023-08-09 09:35:00-04:00,4518.75,4519.25,4933.25,543495.0
2023-08-09 09:40:00-04:00,4513.0,4516.25,4509.75,4337450.0
2023-08-09 09:45:00-04:00,,,,
2023-08-09 09:50:00-04:00,4513.75,4515.25,4510.0,4590.5
2023-08-09 09:55:00-04:00,,,,
2023-08-09 10:00:00-04:00,,,,
2023-08-09 10:05:00-04:00,,,,
2023-08-09 10:10:00-04:00,,,,
2023-08-09 10:15:00-04:00,4512.75,4514175.0,4511.0,513.5
2023-08-09 10:20:00-04:00,,,,
2023-08-09 10:25:00-04:00,,,,
2023-08-09 10:30:00-04:00,,,,
2023-08-09 10:35:00-04:00,,,,
2023-08-09 10:40:00-04:00,4513.75,4514.5,453900.0,45736.0
2023-08-09 10:45:00-04:00,4513.75,4514.5,45390.0,4572.0
2023-08-09 10:50:00-04:00,4510.25,511.25,459.0,4508.0
2023-08-09 10:55:00-04:00,505.0,506.5,4901.5,456350.0
2023-08-09 11:00:00-04:00,,,,
2023-08-09 11:05:00-04:00,,,,
2023-08-09 11:10:00-04:00,4504.9,4504.26,500.0,4500.76
2023-08-09 11:15:00-04:00,,,,
2023-08-09 11:20:00-04:00,,,,
2023-08-09 11:25:00-04:00,,,,
2023-08-09 11:30:00-04:00,,,,
2023-08-09 11:35:00-04:00,,,,
2023-08-09 11:40:00-04:00,,,,
2023-08-09 11:45:00-04:00,,,,
2023-08-09 11:50:00-04:00,,,,
2023-08-09 11:55:00-04:00,481.75,4483.25,4478.25,4482.75
2023-08-09 12:00:00-04:00,,,,
2023-08-09 12:05:00-04:00,,,,
2023-08-09 12:10:00-04:00,,,,
2023-08-09 12:15:00-04:00,,,,
2023-08-09 12:20:00-04:00,,,,
2023-08-09 12:25:00-04:00,,,,
2023-08-09 12:30:00-04:00,,,,
2023-08-09 12:35:00-04:00,,,,
2023-08-09 12:40:00-04:00,,,,
2023-08-09 12:45:00-04:00,,,,
2023-08-09 12:50:00-04:00,,,,
2023-08-09 12:55:00-04:00,,,,
2023-08-09 13:00:00-04:00,,,,
2023-08-09 13:05:00-04:00,,,,
2023-08-09 13:10:00-04:00,,,,
2023-08-09 13:15:00-04:00,,,,
2023-08-09 13:20:00-04:00,4521.5,4523.25,4521.0,4522.75
2023-08-09 13:25:00-04:00,4526.0,4526.0,4523.75,4525.25
2023-08-09 13:30:00-04:00,4503.0,4506.25,4503.0,4504.5
2023-08-09 13:35:00-04:00,,,,
2023-08-09 13:40:00-04:00,,,,
2023-08-09 13:45:00-04:00,,,,
2023-08-09 13:50:00-04:00,,,,
2023-08-09 13:55:00-04:00,,,,
2023-08-09 14:00:00-04:00,,,,
2023-08-09 14:05:00-04:00,,,,
2023-08-09 14:10:00-04:00,,,,
2023-08-09 14:15:00-04:00,,,,
2023-08-09 14:20:00-04:00,,,,
2023-08-09 14:25:00-04:00,,,,
2023-08-09 14:30:00-04:00,,,,
2023-08-09 14:35:00-04:00,,,,
2023-08-09 14:40:00-04:00,,,,
2023-08-09 14:45:00-04:00,,,,
2023-08-09 14:50:00-04:00,,,,
2023-08-09 14:55:00-04:00,,,,
2023-08-09 15:00:00-04:00,,,,
2023-08-09 15:05:00-04:00,,,,
2023-08-09 15:10:00-04:00,,,,
2023-08-09 15:15:00-04:00,,,,
2023-08-09 15:20:00-04:00,,,,
2023-08-09 15:25:00-04:00,,,,
2023-08-09 15:30:00-04:00,,,,
2023-08-09 15:35:00-04:00,,,,
2023-08-09 15:40:00-04:00,,,,
2023-08-09 15:45:00-04:00,,,,
2023-08-09 15:50:00-04:00,,,,
2023-08-09 15:55:00-04:00,,,,
