Date,Open,High,Low,Close
2023-07-19 09:30:00-04:00,4570.03,4575.53,4570.03,4572.03
2023-07-19 09:35:00-04:00,4572.03,4578.03,4572.03,4577.78
2023-07-19 09:40:00-04:00,4577.78,4578.78,4576.28,4576.28
2023-07-19 09:45:00-04:00,4576.28,4577.03,4574.28,4576.03
2023-07-19 09:50:00-04:00,4576.03,4577.03,4574.03,4576.03
2023-07-19 09:55:00-04:00,4576.03,4578.28,4574.78,4578.03
2023-07-19 10:00:00-04:00,4578.03,4579.03,4576.03,4578.78
2023-07-19 10:05:00-04:00,4578.78,4580.28,4577.03,4578.53
2023-07-19 10:10:00-04:00,4578.53,4581.03,4578.03,4578.28
2023-07-19 10:15:00-04:00,4578.28,4579.53,4575.53,4579.03
2023-07-19 10:20:00-04:00,4579.03,4581.03,4578.53,4580.78
2023-07-19 10:25:00-04:00,4580.78,4581.03,4575.53,4576.03
2023-07-19 10:30:00-04:00,4576.03,4577.28,4574.03,4575.03
2023-07-19 10:35:00-04:00,4575.03,4575.53,4573.03,4575.28
2023-07-19 10:40:00-04:00,4575.28,4578.53,4574.53,4578.03
2023-07-19 10:45:00-04:00,4578.03,4579.28,4575.53,4576.28
2023-07-19 10:50:00-04:00,4576.28,4579.03,4569.78,4570.28
2023-07-19 10:55:00-04:00,4570.28,4572.03,4563.78,4570.28
2023-07-19 11:00:00-04:00,4570.28,4572.03,4569.03,4569.53
2023-07-19 11:05:00-04:00,4569.53,4572.53,4569.53,4571.53
2023-07-19 11:10:00-04:00,4571.53,4575.53,4571.28,4575.53
2023-07-19 11:15:00-04:00,4575.53,4577.28,4574.53,4576.28
2023-07-19 11:20:00-04:00,4576.28,4576.28,4570.78,4572.03
2023-07-19 11:25:00-04:00,4572.03,4575.78,4571.78,4575.03
2023-07-19 11:30:00-04:00,4575.03,4578.28,4575.03,4578.03
2023-07-19 11:35:00-04:00,4578.03,4578.03,4575.53,4575.78
2023-07-19 11:40:00-04:00,4575.78,4576.78,4575.03,4576.53
2023-07-19 11:45:00-04:00,4576.53,4577.53,4575.78,4576.53
2023-07-19 11:50:00-04:00,4576.53,4578.28,4575.53,4578.28
2023-07-19 11:55:00-04:00,4578.28,4579.03,4576.03,4577.53
