Date,Open,High,Low,Close
2023-07-21 09:30:00-04:00,4552.72,4556.22,4549.72,4553.97
2023-07-21 09:35:00-04:00,4553.97,4556.22,4551.97,4552.97
2023-07-21 09:40:00-04:00,4552.97,4553.72,4549.72,4550.22
2023-07-21 09:45:00-04:00,4550.22,4551.72,4543.97,4545.72
2023-07-21 09:50:00-04:00,4545.72,4546.72,4541.47,4544.47
2023-07-21 09:55:00-04:00,4544.47,4546.22,4543.22,4543.97
2023-07-21 10:00:00-04:00,4543.97,4545.22,4537.72,4541.97
2023-07-21 10:05:00-04:00,4541.97,4545.47,4540.97,4544.72
2023-07-21 10:10:00-04:00,4544.72,4548.72,4543.97,4548.22
2023-07-21 10:15:00-04:00,4548.22,4551.47,4548.22,4550.97
2023-07-21 10:20:00-04:00,4550.97,4551.22,4543.22,4543.72
2023-07-21 10:25:00-04:00,4543.72,4543.97,4538.97,4538.97
2023-07-21 10:30:00-04:00,4538.97,4543.97,4538.72,4541.97
2023-07-21 10:35:00-04:00,4541.97,4545.22,4541.72,4542.97
2023-07-21 10:40:00-04:00,4542.97,4546.97,4542.47,4545.47
2023-07-21 10:45:00-04:00,4545.47,4550.22,4545.22,4549.47
2023-07-21 10:50:00-04:00,4549.47,4550.22,4546.22,4546.47
2023-07-21 10:55:00-04:00,4546.47,4547.22,4544.97,4546.72
2023-07-21 11:00:00-04:00,4546.72,4550.22,4546.47,4546.97
2023-07-21 11:05:00-04:00,4546.97,4552.97,4546.97,4552.72
2023-07-21 11:10:00-04:00,4552.72,4554.47,4550.97,4551.22
2023-07-21 11:15:00-04:00,4551.22,4553.72,4550.97,4552.72
2023-07-21 11:20:00-04:00,4552.72,4553.47,4551.72,4552.47
2023-07-21 11:25:00-04:00,4552.47,4554.22,4551.47,4554.22
2023-07-21 11:30:00-04:00,4554.22,4556.22,4551.72,4551.97
2023-07-21 11:35:00-04:00,4551.97,4553.97,4551.22,4552.22
2023-07-21 11:40:00-04:00,4552.22,4553.47,4548.72,4548.72
2023-07-21 11:45:00-04:00,4548.72,4553.22,4546.97,4553.22
2023-07-21 11:50:00-04:00,4553.22,4554.72,4549.22,4549.47
2023-07-21 11:55:00-04:00,4549.47,4552.47,4548.47,4552.47
2023-07-21 12:00:00-04:00,4552.47,4552.72,4548.97,4550.72
2023-07-21 12:05:00-04:00,4550.72,4550.72,4548.47,4548.72
2023-07-21 12:10:00-04:00,4548.72,4549.97,4546.97,4547.97
2023-07-21 12:15:00-04:00,4547.97,4550.22,4547.97,4549.72
2023-07-21 12:20:00-04:00,4549.72,4551.97,4549.22,4549.22
2023-07-21 12:25:00-04:00,4549.22,4549.72,4546.72,4546.72
2023-07-21 12:30:00-04:00,4546.72,4548.47,4546.72,4547.97
2023-07-21 12:35:00-04:00,4547.97,4547.97,4546.22,4547.47
2023-07-21 12:40:00-04:00,4547.47,4547.47,4543.22,4544.22
2023-07-21 12:45:00-04:00,4544.22,4544.22,4541.97,4543.72
2023-07-21 12:50:00-04:00,4543.72,4545.72,4543.22,4544.72
2023-07-21 12:55:00-04:00,4544.72,4545.47,4544.22,4545.47
2023-07-21 13:00:00-04:00,4545.47,4547.72,4544.97,4547.72
2023-07-21 13:05:00-04:00,4547.72,4550.47,4547.72,4549.97
2023-07-21 13:10:00-04:00,4549.97,4552.22,4549.72,4550.97
2023-07-21 13:15:00-04:00,4550.97,4552.97,4550.97,4552.47
2023-07-21 13:20:00-04:00,4552.47,4552.47,4550.97,4551.97
2023-07-21 13:25:00-04:00,4551.97,4553.72,4550.72,4553.72
2023-07-21 13:30:00-04:00,4553.72,4555.97,4552.97,4555.47
2023-07-21 13:35:00-04:00,4555.47,4555.97,4553.97,4555.97
2023-07-21 13:40:00-04:00,4555.97,4557.47,4554.22,4554.47
2023-07-21 13:45:00-04:00,4554.47,4555.22,4553.72,4554.97
2023-07-21 13:50:00-04:00,4554.97,4557.22,4554.72,4556.97
2023-07-21 13:55:00-04:00,4556.97,4556.97,4554.72,4556.22
2023-07-21 14:00:00-04:00,4556.22,4556.97,4551.97,4552.22
2023-07-21 14:05:00-04:00,4552.22,4553.47,4550.47,4552.72
2023-07-21 14:10:00-04:00,4552.72,4552.97,4546.97,4547.47
2023-07-21 14:15:00-04:00,4547.47,4550.47,4546.72,4549.72
2023-07-21 14:20:00-04:00,4549.72,4550.22,4547.97,4548.72
2023-07-21 14:25:00-04:00,4548.72,4549.22,4546.97,4548.97
2023-07-21 14:30:00-04:00,4548.97,4549.72,4546.97,4548.47
2023-07-21 14:35:00-04:00,4548.47,4550.72,4548.47,4549.97
