Date,Open,High,Low,Close
2023-07-10 09:30:00-04:00,,-1.0,inf,
2023-07-10 09:35:00-04:00,,-1.0,inf,
2023-07-10 09:40:00-04:00,,-1.0,inf,
2023-07-10 09:45:00-04:00,,-1.0,inf,
2023-07-10 09:50:00-04:00,,-1.0,inf,
2023-07-10 09:55:00-04:00,,-1.0,inf,
2023-07-10 10:00:00-04:00,,-1.0,inf,
2023-07-10 10:05:00-04:00,15002.74,15026.61,15002.11,15022.24
2023-07-10 10:10:00-04:00,15022.24,15036.11,15020.36,15029.11
2023-07-10 10:15:00-04:00,15029.11,15036.11,15012.61,15034.61
2023-07-10 10:20:00-04:00,15034.61,15057.86,15034.61,15055.86
2023-07-10 10:25:00-04:00,15055.86,15063.11,15034.99,15034.99
2023-07-10 10:30:00-04:00,15034.99,15043.61,15013.61,15019.61
2023-07-10 10:35:00-04:00,15019.61,15026.61,14994.11,15023.86
2023-07-10 10:40:00-04:00,15023.86,15030.36,14997.11,15004.11
2023-07-10 10:45:00-04:00,15004.11,15023.11,15000.61,15014.36
2023-07-10 10:50:00-04:00,15014.36,15028.36,15000.36,15004.86
2023-07-10 10:55:00-04:00,15004.86,15020.36,14999.11,15008.36
2023-07-10 11:00:00-04:00,15008.36,15013.86,14981.86,14995.11
2023-07-10 11:05:00-04:00,14995.11,15013.11,14991.11,15008.86
2023-07-10 11:10:00-04:00,15008.86,15012.86,14992.36,15012.86
2023-07-10 11:15:00-04:00,15012.86,15018.74,14998.11,15000.99
2023-07-10 11:20:00-04:00,15000.99,15012.86,14993.74,14996.24
2023-07-10 11:25:00-04:00,14996.24,15015.86,14993.61,15014.86
2023-07-10 11:30:00-04:00,15014.86,15034.61,15013.49,15029.86
2023-07-10 11:35:00-04:00,15029.86,15034.36,15026.86,15028.99
2023-07-10 11:40:00-04:00,15028.99,15034.49,14996.61,14996.61
2023-07-10 11:45:00-04:00,14996.61,14996.61,14970.74,14980.36
2023-07-10 11:50:00-04:00,14980.36,14993.86,14975.86,14993.86
2023-07-10 11:55:00-04:00,14993.86,14999.24,14975.74,14976.36
2023-07-10 12:00:00-04:00,14976.36,14976.99,14934.36,14952.49
2023-07-10 12:05:00-04:00,14952.49,14953.74,14931.11,14931.49
2023-07-10 12:10:00-04:00,14931.49,14936.61,14925.86,14929.11
2023-07-10 12:15:00-04:00,14929.11,14946.49,14924.11,14941.99
2023-07-10 12:20:00-04:00,14941.99,14965.86,14941.74,14963.11
2023-07-10 12:25:00-04:00,14963.11,14971.74,14959.11,14967.24
2023-07-10 12:30:00-04:00,14967.24,14975.86,14961.86,14972.61
2023-07-10 12:35:00-04:00,14972.61,14984.11,14962.74,14979.99
2023-07-10 12:40:00-04:00,14979.99,14994.49,14975.99,14989.74
2023-07-10 12:45:00-04:00,14989.74,14998.24,14988.11,14998.24
2023-07-10 12:50:00-04:00,14998.24,15007.11,14992.61,14997.11
2023-07-10 12:55:00-04:00,14997.11,15015.61,14995.61,15009.61
2023-07-10 13:00:00-04:00,15009.61,15020.24,15006.24,15010.11
2023-07-10 13:05:00-04:00,15010.11,15017.24,15005.61,15008.36
2023-07-10 13:10:00-04:00,15008.36,15013.11,15001.36,15012.11
2023-07-10 13:15:00-04:00,15012.11,15018.24,14999.11,15005.61
2023-07-10 13:20:00-04:00,15005.61,15013.24,15004.86,15010.11
2023-07-10 13:25:00-04:00,15010.11,15026.61,15008.11,15026.61
2023-07-10 13:30:00-04:00,15026.61,15039.24,15018.36,15018.86
2023-07-10 13:35:00-04:00,15018.86,15020.11,15006.61,15013.11
2023-07-10 13:40:00-04:00,15013.11,15022.86,15008.49,15022.86
2023-07-10 13:45:00-04:00,15022.86,15027.61,15009.24,15009.24
2023-07-10 13:50:00-04:00,15009.24,15020.99,15008.36,15011.11
2023-07-10 13:55:00-04:00,15011.11,15018.11,15004.74,15012.11
2023-07-10 14:00:00-04:00,15012.11,15014.61,14997.49,14998.61
2023-07-10 14:05:00-04:00,14996.36,15006.99,14994.74,15003.11
2023-07-10 14:10:00-04:00,15003.11,15023.49,15001.11,15023.49
2023-07-10 14:15:00-04:00,15023.49,15034.36,15020.86,15031.24
2023-07-10 14:20:00-04:00,15031.24,15047.36,15028.36,15040.11
2023-07-10 14:25:00-04:00,15040.11,15051.61,15039.86,15048.36
2023-07-10 14:30:00-04:00,15048.36,15050.74,15031.61,15037.61
2023-07-10 14:35:00-04:00,15037.61,15039.11,15027.99,15028.61
2023-07-10 14:40:00-04:00,15028.61,15034.11,15024.36,15026.11
2023-07-10 14:45:00-04:00,15026.11,15030.61,15021.49,15029.86
2023-07-10 14:50:00-04:00,15029.86,15042.36,15029.61,15042.24
2023-07-10 14:55:00-04:00,15042.11,15050.86,15041.24,15048.36
2023-07-10 15:00:00-04:00,15048.36,15050.49,15035.61,15040.36
2023-07-10 15:05:00-04:00,15040.36,15044.36,15024.86,15030.86
2023-07-10 15:10:00-04:00,15030.86,15033.74,15024.11,15028.99
2023-07-10 15:15:00-04:00,15028.99,15034.36,15026.86,15030.11
2023-07-10 15:20:00-04:00,15030.11,15038.61,15020.11,15023.49
2023-07-10 15:25:00-04:00,15023.49,15033.11,15021.99,15029.61
2023-07-10 15:30:00-04:00,15029.61,15032.86,15020.36,15022.99
2023-07-10 15:35:00-04:00,15022.99,15035.99,15021.36,15030.86
