Date,Open,High,Low,Close
2023-07-25 09:30:00-04:00,,-1.0,inf,
2023-07-25 09:35:00-04:00,,-1.0,inf,
2023-07-25 09:40:00-04:00,,-1.0,inf,
2023-07-25 09:45:00-04:00,,-1.0,inf,
2023-07-25 09:50:00-04:00,,-1.0,inf,
2023-07-25 09:55:00-04:00,,-1.0,inf,
2023-07-25 10:00:00-04:00,,-1.0,inf,
2023-07-25 10:05:00-04:00,,-1.0,inf,
2023-07-25 10:10:00-04:00,,-1.0,inf,
2023-07-25 10:15:00-04:00,,-1.0,inf,
2023-07-25 10:20:00-04:00,,-1.0,inf,
2023-07-25 10:25:00-04:00,,-1.0,inf,
2023-07-25 10:30:00-04:00,,-1.0,inf,
2023-07-25 10:35:00-04:00,,-1.0,inf,
2023-07-25 10:40:00-04:00,,-1.0,inf,
2023-07-25 10:45:00-04:00,,-1.0,inf,
2023-07-25 10:50:00-04:00,,-1.0,inf,
2023-07-25 10:55:00-04:00,,-1.0,inf,
2023-07-25 11:00:00-04:00,,-1.0,inf,
2023-07-25 11:05:00-04:00,,-1.0,inf,
2023-07-25 11:10:00-04:00,,-1.0,inf,
2023-07-25 11:15:00-04:00,,-1.0,inf,
2023-07-25 11:20:00-04:00,,-1.0,inf,
2023-07-25 11:25:00-04:00,,-1.0,inf,
2023-07-25 11:30:00-04:00,,-1.0,inf,
2023-07-25 11:35:00-04:00,,-1.0,inf,
2023-07-25 11:40:00-04:00,,-1.0,inf,
2023-07-25 11:45:00-04:00,,-1.0,inf,
2023-07-25 11:50:00-04:00,,-1.0,inf,
2023-07-25 11:55:00-04:00,,-1.0,inf,
2023-07-25 12:00:00-04:00,,-1.0,inf,
2023-07-25 12:05:00-04:00,,-1.0,inf,
2023-07-25 12:10:00-04:00,,-1.0,inf,
2023-07-25 12:15:00-04:00,,-1.0,inf,
2023-07-25 12:20:00-04:00,,-1.0,inf,
2023-07-25 12:25:00-04:00,,-1.0,inf,
2023-07-25 12:30:00-04:00,,-1.0,inf,
2023-07-25 12:35:00-04:00,,-1.0,inf,
2023-07-25 12:40:00-04:00,,-1.0,inf,
2023-07-25 12:45:00-04:00,,-1.0,inf,
2023-07-25 12:50:00-04:00,,-1.0,inf,
2023-07-25 12:55:00-04:00,,-1.0,inf,
2023-07-25 13:00:00-04:00,,-1.0,inf,
2023-07-25 13:05:00-04:00,,-1.0,inf,
2023-07-25 13:10:00-04:00,4601.0,4601.0,4598.0,4599.25
2023-07-25 13:15:00-04:00,4598.25,4600.75,4597.5,4600.75
2023-07-25 13:20:00-04:00,4600.75,4602.5,4600.75,4601.5
2023-07-25 13:25:00-04:00,4601.5,4602.25,4600.5,4601.0
2023-07-25 13:30:00-04:00,4601.0,4602.5,4601.0,4601.75
2023-07-25 13:35:00-04:00,4601.75,4602.0,4600.25,4601.5
2023-07-25 13:40:00-04:00,4601.5,4602.25,4600.25,4601.75
2023-07-25 13:45:00-04:00,4601.75,4602.0,4600.0,4600.25
2023-07-25 13:50:00-04:00,4600.25,4600.25,4599.0,4599.75
2023-07-25 13:55:00-04:00,4599.75,4600.5,4598.75,4599.25
2023-07-25 14:00:00-04:00,4599.25,4600.5,4598.25,4600.25
2023-07-25 14:05:00-04:00,4600.25,4600.75,4599.0,4600.0
2023-07-25 14:10:00-04:00,4600.0,4602.0,4599.5,4602.0
2023-07-25 14:15:00-04:00,4602.0,4603.5,4601.0,4602.75
2023-07-25 14:20:00-04:00,4602.75,4605.75,4602.5,4605.0
2023-07-25 14:25:00-04:00,4605.0,4606.0,4603.75,4605.0
2023-07-25 14:30:00-04:00,4605.0,4608.0,4605.0,4607.25
2023-07-25 14:35:00-04:00,4607.25,4608.75,4606.25,4606.75
2023-07-25 14:40:00-04:00,4606.25,4608.0,4605.0,4607.75
2023-07-25 14:45:00-04:00,4607.75,4608.0,4603.5,4603.5
2023-07-25 14:50:00-04:00,4603.5,4605.0,4603.0,4605.0
2023-07-25 14:55:00-04:00,4605.0,4605.0,4599.0,4599.75
2023-07-25 15:00:00-04:00,4599.75,4601.75,4599.0,4600.75
2023-07-25 15:05:00-04:00,4600.75,4602.25,4600.0,4602.0
2023-07-25 15:10:00-04:00,4602.0,4603.75,4600.5,4603.5
2023-07-25 15:15:00-04:00,4603.5,4604.0,4601.75,4601.75
2023-07-25 15:20:00-04:00,4601.75,4603.5,4601.0,4601.5
2023-07-25 15:25:00-04:00,4601.5,4602.5,4600.75,4601.25
2023-07-25 15:30:00-04:00,4601.25,4601.25,4598.5,4600.25
2023-07-25 15:35:00-04:00,4600.25,4602.25,4599.5,4601.25
2023-07-25 15:40:00-04:00,4601.25,4601.75,4599.25,4599.75
2023-07-25 15:45:00-04:00,4599.75,4600.75,4598.25,4599.25
2023-07-25 15:50:00-04:00,,-1.0,inf,
2023-07-25 15:55:00-04:00,,-1.0,inf,
